,text
0,B060BB125
1,M938OX116
2,A549XA163
3,O934MO190
4,T647TO35
5,A750PY35
6,C154TY98
7,C339MM35
8,O969OO154
9,T868TP66
10,K959BM99
11,B010YH35
12,P416PP35
13,B687PP35
14,A398YM76
15,E646AA35
16,E865TX54
17,B952AA35
18,В105ЕY35
19,T850XH35
20,M884BH27
21,B683YK35
22,C363MX53
23,Y190MM102
24,T481CB35
25,T316XA35
26,H285OM29
27,E001EP197
28,T006OB177
29,С333ХС199
30,E095YK54
31,T210XX35
32,B555TY86
33,T608TT35
34,E727TE116
35,O406KM70
36,E138MT46
37,T770MP190
38,X522TY54
39,Y064KM35
40,P138MH161
41,E221BY178
42,B628EA35
43,P647OM34
44,А866КY154
45,X987EM66
46,X024AA199
47,A393HE27
48,B114AC178
49,B930AE35
50,E385AX35
51,X9000XH90
52,T325YP35
53,P849TT54
54,A203TP35
55,T255CH35
56,E341AY152
57,A062XO35
58,P968MM54
59,Y959YY64
60,К819ЕМ75
61,E926BY152
62,X800OO98
63,B070PB35
64,B664EX199
65,E395KC152
66,B102HM98
67,A080EH93
68,E046PK54
69,K003OK57
70,o717pp98
71,M452MM40
72,T111BX199
73,H600OX33
74,T476EM47
75,Н444КО116
76,М330МХ40
77,A717TO199
78,B820XA29
79,B500OX35
80,Y457KO35
81,C711MM174
82,P510YE35
83,B980OX35
84,T392HX35
85,P219AK34
86,E050XT23
87,C061AC124
88,B938KE178
89,B599TT35
90,B166XX98
91,B001KH197
92,O842CM86
93,T218MT69
94,К555ОО90
95,O727KE39
96,B268EM152
97,K415TH27
98,H379AB58
99,B535XK35
100,X403ME64
101,B085BH35
102,X987HB197
103,A200OT25
104,B927BK35
105,M674CM97
106,P671EP54
107,B820XM35
108,E964TT54
109,T865PC35
110,A404HP27
111,T649PC35
112,C007CH177
113,B718KK35
114,B902AH35
115,O394TE96
116,H999AH99
117,T551TY35
118,AH343O35
119,B268MA35
120,M200MA46
121,O481MH98
122,A630CE35
123,С190МС29
124,A080TB35
125,B296HE35
126,K101OP32
127,H817OO55
128,A888XE199
129,A614AM78
130,C661YP35
131,С005СС102
132,Y917CC72
133,B071KE35
134,A645CP27
135,B548TT35
136,B786YK35
137,E864OK125
138,B102KX35
139,C182KC35
140,O625MB96
141,A294PB35
142,Y264BX54
143,O048CA38
144,X936PM76
145,E401KE98
146,P469EK76
147,K545OY27
148,H600HM55
149,C439OK29
150,А897ОС34
151,M333HC199
152,O015XO66
153,X574MP24
154,H757YY150
155,H496YX54
156,A166XK96
157,B220TA35
158,H803EM71
159,K037KK39
160,H129YY57
161,H571CM116
162,T199HE199
163,T666YO35
164,T111YC47
165,B500OX35
166,M486TE116
167,X313MP98
168,О009ОА24
169,K928XA32
170,B623CA177
171,A891OA96
172,Х925ЕМ54
173,M259KP75
174,E375BA35
175,P750BY197
176,K777HA77
177,A823MK197
178,B808MA35
179,B154MA35
180,K832YY199
181,T800HH98
182,E750AB35
183,A019EM34
184,X600PM98
185,O668HO69
186,Х290ВО21
187,K945EP19
188,B546YY35
189,O070OO52
190,B881BO133
191,H714EO197
192,C183AC71
193,A315XP35
194,Y779EM54
195,B200MO35
196,H594TE116
197,E420EE125
198,Y387KB03
199,A785OH33
200,A351TB35
201,Y302YY72
202,Y939TO54
203,X577PB54
204,B939HX35
205,B696TT35
206,H671TE116
207,K787XK64
208,B009EP35
209,Y050TH86
210,P200TM76
211,T846TB86
212,C253KB150
213,C880CC77
214,Y723YC35
215,A003AH35
216,В866ЕР178
217,T387TO27
218,K122YP116
219,E425MM40
220,B340MA35
221,H100CX29
222,B994EO35
223,O077PY96
224,O452KH163
225,E650TK54
226,X477XK27
227,C600KA03
228,B830MB35
229,C757OA35
230,Y535KT197
231,A991CX35
232,T894TK35
233,T555BH47
234,Y700TH54
235,B808OH35
236,A009KB199
237,Y321MP190
238,T705XX54
239,T970XY61
240,Y134OX62
241,E764TO29
242,C258OA35
243,X490TX98
244,O743YO93
245,P030EH96
246,Y164PE54
247,P002KB47
248,K046CH29
249,K291BO74
250,M506AT197
251,A909CT199
252,M230BO116
253,O400KA97
254,B922EH35
255,T654YK42
256,A696CE35
257,B347CC35
258,P993CT47
259,A055AA62
260,T797TT24
261,X821YH18
262,C634XH35
263,T853TT86
264,Е972ВР152
265,E635OO96
266,A109CC35
267,E543HP69
268,A536TX35
269,O446BT64
270,E839XP29
271,M220MY58
272,K303CP55
273,T649TY35
274,Н120СХ29
275,H323PY72
276,B170TO35
277,A111BY152
278,Y994OK35
279,C840BE197
280,E758YP54
281,P543YA150
282,Е405ХХ45
283,A318OB35
284,X180AE72
285,C598AA98
286,T998MY35
287,B998BM35
288,H107PY11
289,Y882YC35
290,O392OM76
291,O349CA97
292,B167TT35
293,X746TH54
294,T400TY47
295,T445TY35
296,A160YY35
297,B477CC35
298,T877HH35
299,B005CK35
300,T538BA35
301,B769BK35
302,P888XY16
303,T583KK35
304,М503ХХ64
305,Е070ТТ29
306,E060EO190
307,B294KY52
308,В118ЕР197
309,P167EC60
310,B594YK35
